collectivite_id,nom,siren,departement_code,region_code,etoiles_cae,etoiles_eci,nom_epci,departement,nature_juridique,regime_fiscal,population_dgf,population_insee,revenu,potentiel_fiscal,potentiel_fiscal_hab,cif
4082,CC de Pouilly en Auxois/Bligny sur Ouche,200071207,21,27,1,0,CC DE POUILLY EN AUXOIS / BLIGNY SUR OUCHE,21,CC,FA,9989.0,9101.0,141468669.0,1951499.0,195.364801,0.389051
4975,CC du Val d'Argent,246800395,68,44,1,0,CC DU VAL D'ARGENT,68,CC,FPU,9750.0,9358.0,136935829.0,5691649.0,583.758872,0.506863
4487,CC du Pays Morcenais,244000691,40,75,1,0,CC DU PAYS MORCENAIS,40,CC,FPU,10113.0,9654.0,148732149.0,5396529.0,533.622961,0.390745
4173,CC Dieulefit-Bourdeaux,242600492,26,84,1,0,CC DIEULEFIT - BOURDEAUX ,26,CC,FPU,11409.0,9899.0,163341988.0,2484639.0,217.778859,0.350774
3898,CC Ardèche des Sources et Volcans,200039824,7,84,1,0,CDC ARDECHE DES SOURCES ET VOLCANS,07,CC,FPU,12898.0,9963.0,134673742.0,3174569.0,246.12878,0.490686
4248,CC de l'Ile-Rousse - Balagne,200073104,2B,94,1,0,CC DE L'ILE ROUSSE-BALAGNE,2B,CC,FPU,18172.0,11195.0,192232556.0,4914812.0,270.460709,0.513984
4480,CC des Landes d'Armagnac,200035541,40,75,1,0,CC DES LANDES D'ARMAGNAC,40,CC,FPU,11898.0,11110.0,162143500.0,4664519.0,392.042276,0.519477
4491,CC Côte Landes Nature,244000857,40,75,1,0,CC COTE LANDES NATURE,40,CC,FPU,17455.0,12956.0,242745099.0,9920607.0,568.353309,0.343902
4253,CC de Calvi Balagne,242020105,2B,94,1,0,CC DE CALVI BALAGNE,2B,CC,FPU,21015.0,12842.0,260623050.0,6044589.0,287.63212,0.446069
5096,CC de la Vallée de Chamonix-Mont-Blanc,200023372,74,84,1,1,CC DE LA VALLEE DE CHAMONIX-MONT-BLANC,74,CC,FPU,27658.0,14209.0,397396268.0,24668390.0,891.907947,0.597026
4484,CC Coeur Haute Lande,200069656,40,75,1,0,CC CŒUR HAUTE LANDE,40,CC,FPU,18100.0,16702.0,248410075.0,7315036.0,404.145635,0.533114
3835,CC Thiérache Sambre et Oise,200071983,2,32,1,0,CC DE LA THIÉRACHE SAMBRE ET OISE,02,CC,FA,17066.0,16712.0,205533750.0,4035920.0,236.488925,0.357114
5103,CC du Pays de Cruseilles,247400112,74,84,1,0,CC DE CRUSEILLES,74,CC,FPU,18205.0,17734.0,516225572.0,6791890.0,373.078275,0.702661
3878,CC Serre-Ponçon,200067742,5,93,1,2,CC SERRE-PONÇON,05,CC,FPU,27049.0,17548.0,304940965.0,7995404.0,295.589634,0.394509
4574,CC des Quatre Vallées,244500419,45,24,1,0,CC DES QUATRE VALLEES,45,CC,FPU,18624.0,17596.0,290264752.0,7324418.0,393.278458,0.418851
4576,CC de la Forêt,244500484,45,24,1,0,CC DE LA FORET,45,CC,FPU,18095.0,17933.0,314393535.0,4964547.0,274.360155,0.407643
5357,CC du Gâtinais en Bourgogne,248900748,89,27,1,1,CC DU GATINAIS EN BOURGOGNE,89,CC,FPU,19531.0,17948.0,297570461.0,5341747.0,273.500947,0.331433
4020,CC Lavalette Tude Dronne,200070282,16,75,1,0,CC LAVALETTE TUDE DRONNE,16,CC,FPU,19794.0,17810.0,254175362.0,4354664.0,219.999192,0.677366
5013,CC du Pays de Lure,247000664,70,27,1,0,CC DU PAYS DE LURE,70,CC,FPU,19920.0,19553.0,288060622.0,8300446.0,416.689056,0.526431
4461,CC Bresse Haute Seille,200069615,39,27,1,1,CC BRESSE HAUTE SEILLE,39,CC,FPU,20738.0,19627.0,339034465.0,5575775.0,268.867538,0.563355
4505,CC Beauce Val de Loire,200055481,41,24,1,1,BEAUCE VAL DE LOIRE,41,CC,FPU,20808.0,20050.0,319403695.0,5922046.0,284.604287,0.590801
4234,CC du Sud Corse,200040764,2A,94,1,0,CC DU SUD CORSE,2A,CC,FPU,35537.0,22133.0,522522793.0,14141339.0,397.932831,0.386488
4509,CC du Grand Chambord,244100798,41,24,1,1,CC DU GRAND CHAMBORD,41,CC,FPU,21841.0,21050.0,376395010.0,11460233.0,524.711918,0.417625
5359,CC du Jovinien,248900938,89,27,1,1,CC DE JOVINIEN,89,CC,FPU,22272.0,21143.0,295515860.0,9315444.0,418.258082,0.341927
